,level_0,index,Site,Parameter,Date_LT,Year,Month,Day,Hour,NowCast_Conc,AQI,AQI_Category,Raw_Conc,Conc_Unit,Duration,QC_Name
27,162,1529,New Delhi,PM2.5 - Principal,2015-03-05 06:00 PM,2015,3,5,18,31.9,93,Moderate,32.0,UG/M3,1 Hr,Valid
31,186,1553,New Delhi,PM2.5 - Principal,2015-03-06 06:00 PM,2015,3,6,18,32.6,94,Moderate,37.0,UG/M3,1 Hr,Valid
39,234,1601,New Delhi,PM2.5 - Principal,2015-03-08 06:00 PM,2015,3,8,18,19.5,67,Moderate,22.0,UG/M3,1 Hr,Valid
130,782,2225,New Delhi,PM2.5 - Principal,2015-04-03 06:00 PM,2015,4,3,18,39.0,110,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
138,830,2273,New Delhi,PM2.5 - Principal,2015-04-05 06:00 PM,2015,4,5,18,58.7,153,Unhealthy,62.0,UG/M3,1 Hr,Valid
142,852,2297,New Delhi,PM2.5 - Principal,2015-04-06 06:00 PM,2015,4,6,18,25.6,79,Moderate,25.0,UG/M3,1 Hr,Valid
233,1403,2945,New Delhi,PM2.5 - Principal,2015-05-03 06:00 PM,2015,5,3,18,59.1,153,Unhealthy,60.0,UG/M3,1 Hr,Valid
241,1450,2993,New Delhi,PM2.5 - Principal,2015-05-05 06:00 PM,2015,5,5,18,66.2,157,Unhealthy,67.0,UG/M3,1 Hr,Valid
245,1472,3017,New Delhi,PM2.5 - Principal,2015-05-06 06:00 PM,2015,5,6,18,34.7,99,Moderate,34.0,UG/M3,1 Hr,Valid
253,1520,3065,New Delhi,PM2.5 - Principal,2015-05-08 06:00 PM,2015,5,8,18,35.6,101,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
330,2005,3689,New Delhi,PM2.5 - Principal,2015-06-03 06:00 PM,2015,6,3,18,25.4,79,Moderate,23.0,UG/M3,1 Hr,Valid
338,2053,3737,New Delhi,PM2.5 - Principal,2015-06-05 06:00 PM,2015,6,5,18,33.9,97,Moderate,38.0,UG/M3,1 Hr,Valid
342,2076,3761,New Delhi,PM2.5 - Principal,2015-06-06 06:00 PM,2015,6,6,18,24.1,76,Moderate,25.0,UG/M3,1 Hr,Valid
350,2124,3809,New Delhi,PM2.5 - Principal,2015-06-08 06:00 PM,2015,6,8,18,20.3,68,Moderate,19.0,UG/M3,1 Hr,Valid
446,2701,4481,New Delhi,PM2.5 - Principal,2015-07-06 06:00 PM,2015,7,6,18,14.6,56,Moderate,12.0,UG/M3,1 Hr,Valid
